category,baseline_$B,optimized_$B,change_$B,change_pct,confidence,note
social_security,1666,1698,+32,+1.9%,HIGH,"OASDI benefits. FY25 actual $1,575B + CBO +$91B FY26 growth. OASI trust fund exhausted 2032 under current law (CBO)."
medicare,1063,1140,+77,+7.2%,HIGH,Net of premiums. FY25 $988B + CBO +$75B. ~50% of beneficiaries now in privately administered Medicare Advantage.
medicaid_chip,700,805,+105,+15.0%,HIGH,Federal share. FY25 $668B + CBO +$40B; P.L.119-21 cuts ~$1.2T over 10yr already embedded in baseline.
aca_other_health,140,190,+50,+36.0%,MEDIUM,"ACA premium tax credits & related; enhanced subsidies expired, enrollment falling in baseline (CBO -$79B revision)."
income_security,460,543,+83,+18.0%,MEDIUM,"SNAP, SSI, EITC/CTC refundable portions, UI, child nutrition. Split estimated from FY25 'other mandatory' $773B."
veterans,420,458,+38,+9.0%,MEDIUM,Mandatory disability compensation + VA discretionary health. CBO FY26 growth +$49B. Floor=1.0: cuts treated as infeasible.
fed_retirement,190,188,-2,-1.2%,MEDIUM,Civilian + military retirement. Contractual; near-zero one-cycle controllability.
other_mandatory,320,291,-29,-9.0%,LOW,"Student loans (large FY26 +$89B re-estimate), agriculture, deposit insurance, misc. Most volatile residual line."
defense,900,819,-81,-9.0%,HIGH,050 function. FY25 $893B + CR. ~half flows to contractors (symbiosis constraint binds here).
intl_affairs,55,45,-10,-18.0%,MEDIUM,"State/USAID-successor ops, embassies, global health."
science_space,80,104,+24,+30.0%,MEDIUM,"NSF, NASA, DOE Office of Science. Highest long-run growth spillovers per $ in the literature."
health_research_ph,95,129,+34,+36.0%,MEDIUM,"NIH, CDC, FDA, HRSA discretionary. Public-health infrastructure case-study lever."
education_training,115,150,+34,+30.0%,MEDIUM,"Title I, IDEA, Pell (disc. portion), workforce training."
transportation,130,161,+31,+24.0%,MEDIUM,"Highways, transit, aviation, rail (incl. IIJA tail)."
environment_energy,65,84,+20,+30.0%,MEDIUM,"EPA, Interior ops, DOE energy programs."
housing_community,90,114,+24,+27.0%,MEDIUM,"HUD (Sec.8, public housing), CDBG, rural development."
justice_homeland,105,96,-9,-9.0%,MEDIUM,"DOJ, federal courts, CBP/ICE (immigration enforcement elevated in baseline per 2025 reconciliation act)."
general_gov_other,165,145,-20,-12.0%,LOW,"Treasury/IRS ops, GSA, Congress, residual NDD. Absorbs disaggregation error — widest uncertainty."
offsetting_receipts,-389,-389,+0,0.0%,LOW,Reconciling line to CBO total
net_interest,1030,1030,+0,0.0%,HIGH,Endogenous in out-years via debt path

tax_instrument,setting,net_new_revenue_$B
d_ind,1.50 pts effective indiv rate,+433
d_corp,7.00 pts statutory corp rate,+109
d_cap,1.00 fraction of cap-income package,+120
payroll_cap,1.00 fraction of payroll-cap lift,+180
vat,0.00 VAT rate %,+0
carbon,80.00 carbon $/tCO2e,+166
